"",Upper limit of amplitude class (p-p) [μm],,,,,,,
Frequency [Hz],62,125,188,250,312,375,438,500
1,29,4,1,0,0,0,0,0
2,96,135,23,0,0,0,0,0
3,26,4,1,0,0,0,0,0
4,6,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
15,0,3,2,0,0,0,0,0
20,264,57,14,3,2,1,0,0
24,343,68,13,14,5,1,0,0
29,266,35,42,30,16,5,0,1
35,15,32,34,30,7,3,1,0
39,59,49,31,17,10,1,0,0
44,10,22,22,15,3,2,1,0
50,14,38,16,8,0,3,0,0
53,2,3,1,0,0,0,0,0
59,8,7,4,1,0,0,0,0
63,2,1,3,0,0,0,0,0
67,2,1,0,0,0,0,0,0
71,2,1,0,0,0,0,0,0
77,1,2,0,0,0,0,0,0
83,4,2,0,0,0,0,0,0
91,3,3,0,0,0,0,0,0
100,6,0,0,0,0,0,0,0
111,2,1,0,0,0,0,0,0
125,3,0,0,0,0,0,0,0
143,5,0,0,0,0,0,0,0
167,1,0,0,0,0,0,0,0
200,2,0,0,0,0,0,0,0
Total cycles,1180,468,207,118,43,16,2,1
