CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python3.7 main.py
MEM 0.632812 1655727234.0659
MEM 30.351562 1655727234.1665
MEM 48.460938 1655727234.2672
MEM 62.593750 1655727234.3678
MEM 74.289062 1655727234.4685
MEM 84.203125 1655727234.5689
MEM 92.800781 1655727234.6695
MEM 96.964844 1655727234.7701
MEM 100.562500 1655727234.8708
MEM 101.980469 1655727234.9715
MEM 110.046875 1655727235.0722
MEM 124.359375 1655727235.1730
MEM 136.140625 1655727235.2737
MEM 145.566406 1655727235.3743
MEM 154.871094 1655727235.4752
MEM 164.304688 1655727235.5759
MEM 179.652344 1655727235.6765
MEM 179.714844 1655727235.7771
MEM 179.714844 1655727235.8777
MEM 179.714844 1655727235.9785
MEM 179.722656 1655727236.0791
MEM 188.320312 1655727236.1798
MEM 195.261719 1655727236.2804
MEM 205.460938 1655727236.3810
MEM 220.058594 1655727236.4816
MEM 236.328125 1655727236.5823
MEM 247.800781 1655727236.6829
MEM 262.597656 1655727236.7836
MEM 266.968750 1655727236.8842
MEM 277.531250 1655727236.9848
MEM 288.527344 1655727237.0855
MEM 290.503906 1655727237.1862
MEM 295.855469 1655727237.2869
MEM 301.425781 1655727237.3875
MEM 314.371094 1655727237.4882
MEM 324.019531 1655727237.5889
MEM 331.667969 1655727237.6896
MEM 343.605469 1655727237.7903
MEM 352.761719 1655727237.8910
MEM 357.917969 1655727237.9917
MEM 365.703125 1655727238.0924
MEM 366.605469 1655727238.1930
MEM 366.605469 1655727238.2936
MEM 366.605469 1655727238.3943
MEM 366.605469 1655727238.4949
MEM 366.902344 1655727238.5958
MEM 368.554688 1655727238.6967
MEM 369.390625 1655727238.7973
MEM 369.390625 1655727238.8980
MEM 369.390625 1655727238.9986
MEM 369.390625 1655727239.0993
MEM 370.246094 1655727239.2000
MEM 370.246094 1655727239.3007
MEM 370.246094 1655727239.4015
MEM 370.246094 1655727239.5021
MEM 370.855469 1655727239.6028
MEM 371.382812 1655727239.7036
MEM 371.382812 1655727239.8045
MEM 371.382812 1655727239.9054
MEM 371.382812 1655727240.0062
MEM 373.648438 1655727240.1068
MEM 374.984375 1655727240.2075
MEM 376.730469 1655727240.3081
MEM 378.453125 1655727240.4087
MEM 380.175781 1655727240.5088
