CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python main.py
MEM 1.460938 1657730695.6092
MEM 24.425781 1657730695.7096
MEM 38.171875 1657730695.8100
MEM 68.800781 1657730695.9105
MEM 68.800781 1657730696.0109
MEM 70.003906 1657730696.1114
MEM 70.261719 1657730696.2119
MEM 71.058594 1657730696.3125
MEM 71.675781 1657730696.4130
MEM 72.355469 1657730696.5134
MEM 73.687500 1657730696.6139
MEM 74.609375 1657730696.7144
MEM 75.125000 1657730696.8148
MEM 77.500000 1657730696.9153
MEM 78.273438 1657730697.0158
MEM 78.824219 1657730697.1162
MEM 80.945312 1657730697.2165
MEM 81.980469 1657730697.3168
MEM 83.500000 1657730697.4173
MEM 84.718750 1657730697.5176
MEM 86.562500 1657730697.6181
MEM 88.488281 1657730697.7184
MEM 92.042969 1657730697.8187
MEM 94.648438 1657730697.9191
MEM 104.234375 1657730698.0194
MEM 109.644531 1657730698.1198
MEM 112.472656 1657730698.2200
MEM 114.531250 1657730698.3203
MEM 115.789062 1657730698.4207
MEM 116.171875 1657730698.5212
MEM 116.429688 1657730698.6217
MEM 121.199219 1657730698.7221
MEM 121.714844 1657730698.8225
MEM 123.261719 1657730698.9229
MEM 123.519531 1657730699.0233
MEM 123.519531 1657730699.1236
MEM 123.777344 1657730699.2242
MEM 124.808594 1657730699.3245
MEM 124.972656 1657730699.4250
MEM 125.671875 1657730699.5253
MEM 126.742188 1657730699.6256
MEM 127.628906 1657730699.7260
MEM 129.113281 1657730699.8264
MEM 129.113281 1657730699.9269
MEM 129.925781 1657730700.0272
MEM 131.410156 1657730700.1276
MEM 133.285156 1657730700.2281
MEM 134.785156 1657730700.3285
MEM 136.558594 1657730700.4288
MEM 138.871094 1657730700.5291
MEM 141.488281 1657730700.6296
MEM 142.976562 1657730700.7301
MEM 144.324219 1657730700.8305
MEM 145.070312 1657730700.9310
MEM 148.585938 1657730701.0314
MEM 152.875000 1657730701.1318
MEM 155.671875 1657730701.2321
MEM 163.691406 1657730701.3325
MEM 165.800781 1657730701.4328
MEM 165.800781 1657730701.5332
MEM 165.800781 1657730701.6335
MEM 165.800781 1657730701.7338
MEM 165.800781 1657730701.8341
MEM 165.800781 1657730701.9346
MEM 165.800781 1657730702.0349
MEM 165.800781 1657730702.1352
MEM 167.644531 1657730702.2356
MEM 172.554688 1657730702.3359
MEM 176.578125 1657730702.4362
MEM 182.605469 1657730702.5365
MEM 188.441406 1657730702.6368
MEM 217.343750 1657730702.7372
MEM 226.289062 1657730702.8375
MEM 241.132812 1657730702.9378
MEM 244.542969 1657730703.0382
MEM 249.046875 1657730703.1385
MEM 261.414062 1657730703.2388
MEM 266.328125 1657730703.3393
MEM 275.070312 1657730703.4397
MEM 282.746094 1657730703.5400
MEM 293.281250 1657730703.6404
MEM 293.468750 1657730703.7409
MEM 293.734375 1657730703.8415
MEM 293.929688 1657730703.9420
MEM 294.964844 1657730704.0423
MEM 294.968750 1657730704.1428
MEM 294.968750 1657730704.2432
MEM 294.968750 1657730704.3437
MEM 294.968750 1657730704.4443
MEM 294.968750 1657730704.5447
MEM 294.968750 1657730704.6452
MEM 294.968750 1657730704.7457
MEM 294.968750 1657730704.8461
MEM 294.968750 1657730704.9464
MEM 294.968750 1657730705.0467
MEM 294.968750 1657730705.1471
MEM 294.968750 1657730705.2475
MEM 294.968750 1657730705.3478
MEM 295.261719 1657730705.4481
MEM 296.640625 1657730705.5484
MEM 297.503906 1657730705.6487
MEM 297.503906 1657730705.7491
MEM 297.503906 1657730705.8494
MEM 297.503906 1657730705.9497
MEM 297.503906 1657730706.0500
MEM 297.578125 1657730706.1504
MEM 298.390625 1657730706.2507
MEM 298.390625 1657730706.3511
MEM 298.390625 1657730706.4514
MEM 298.390625 1657730706.5518
MEM 298.390625 1657730706.6521
MEM 298.390625 1657730706.7526
MEM 298.585938 1657730706.8529
MEM 298.972656 1657730706.9533
MEM 299.343750 1657730707.0537
MEM 299.492188 1657730707.1541
MEM 299.492188 1657730707.2544
MEM 299.492188 1657730707.3548
MEM 299.492188 1657730707.4551
MEM 299.492188 1657730707.5554
MEM 299.718750 1657730707.6559
MEM 300.343750 1657730707.7563
MEM 300.675781 1657730707.8567
MEM 300.843750 1657730707.9571
MEM 301.187500 1657730708.0574
MEM 301.210938 1657730708.1577
MEM 302.429688 1657730708.2581
MEM 304.187500 1657730708.3583
MEM 305.367188 1657730708.4587
MEM 306.117188 1657730708.5591
MEM 306.144531 1657730708.6594
MEM 306.144531 1657730708.7599
MEM 306.660156 1657730708.8602
MEM 307.066406 1657730708.9607
MEM 307.355469 1657730709.0610
MEM 307.734375 1657730709.1613
MEM 307.734375 1657730709.2617
MEM 307.734375 1657730709.3621
MEM 307.734375 1657730709.4623
MEM 307.734375 1657730709.5626
MEM 311.351562 1657730709.6629
MEM 316.847656 1657730709.7633
MEM 317.316406 1657730709.8636
MEM 318.457031 1657730709.9639
MEM 318.886719 1657730710.0642
MEM 320.320312 1657730710.1645
MEM 321.390625 1657730710.2651
MEM 321.933594 1657730710.3654
MEM 322.578125 1657730710.4657
MEM 322.679688 1657730710.5661
MEM 328.078125 1657730710.6666
MEM 330.078125 1657730710.7671
MEM 344.078125 1657730710.8674
MEM 352.078125 1657730710.9678
MEM 358.078125 1657730711.0682
MEM 360.078125 1657730711.1687
MEM 396.230469 1657730711.2690
MEM 396.535156 1657730711.3693
MEM 397.269531 1657730711.4697
MEM 401.523438 1657730711.5700
MEM 496.320312 1657730711.6708
MEM 420.152344 1657730711.7711
MEM 438.683594 1657730711.8715
MEM 481.812500 1657730711.9726
MEM 477.953125 1657730712.0730
MEM 478.347656 1657730712.1733
MEM 478.664062 1657730712.2736
MEM 478.917969 1657730712.3741
MEM 478.917969 1657730712.4744
MEM 478.917969 1657730712.5747
MEM 479.144531 1657730712.6751
MEM 479.144531 1657730712.7754
MEM 479.144531 1657730712.8758
MEM 479.144531 1657730712.9762
MEM 479.144531 1657730713.0765
MEM 479.398438 1657730713.1768
MEM 479.398438 1657730713.2772
MEM 479.398438 1657730713.3775
MEM 479.398438 1657730713.4778
MEM 479.398438 1657730713.5781
MEM 479.656250 1657730713.6785
MEM 479.656250 1657730713.7788
MEM 479.656250 1657730713.8793
MEM 479.656250 1657730713.9796
MEM 479.914062 1657730714.0799
MEM 479.914062 1657730714.1803
MEM 479.914062 1657730714.2806
MEM 479.914062 1657730714.3810
MEM 480.171875 1657730714.4813
MEM 480.171875 1657730714.5817
MEM 480.171875 1657730714.6820
MEM 480.429688 1657730714.7824
MEM 480.429688 1657730714.8827
MEM 480.429688 1657730714.9831
MEM 480.675781 1657730715.0834
MEM 480.675781 1657730715.1838
MEM 480.871094 1657730715.2842
MEM 480.871094 1657730715.3845
MEM 480.871094 1657730715.4848
MEM 481.085938 1657730715.5852
MEM 481.085938 1657730715.6855
MEM 481.085938 1657730715.7859
MEM 481.308594 1657730715.8862
MEM 481.308594 1657730715.9866
MEM 481.308594 1657730716.0869
MEM 481.550781 1657730716.1873
MEM 481.550781 1657730716.2877
MEM 481.550781 1657730716.3880
MEM 481.550781 1657730716.4883
MEM 481.785156 1657730716.5888
MEM 481.785156 1657730716.6891
MEM 481.785156 1657730716.7894
MEM 482.042969 1657730716.8898
MEM 482.042969 1657730716.9901
MEM 482.042969 1657730717.0905
MEM 482.300781 1657730717.1908
MEM 482.300781 1657730717.2912
MEM 482.300781 1657730717.3915
MEM 482.300781 1657730717.4918
MEM 482.558594 1657730717.5921
MEM 482.558594 1657730717.6925
MEM 482.558594 1657730717.7929
MEM 482.816406 1657730717.8933
MEM 482.816406 1657730717.9936
MEM 482.816406 1657730718.0939
MEM 483.074219 1657730718.1943
MEM 483.074219 1657730718.2946
MEM 483.074219 1657730718.3949
MEM 483.074219 1657730718.4953
MEM 483.332031 1657730718.5956
MEM 483.332031 1657730718.6960
MEM 483.332031 1657730718.7964
MEM 483.589844 1657730718.8967
MEM 483.589844 1657730718.9971
MEM 483.589844 1657730719.0975
MEM 483.589844 1657730719.1979
MEM 483.835938 1657730719.2982
MEM 483.835938 1657730719.3986
MEM 483.835938 1657730719.4989
MEM 483.835938 1657730719.5992
MEM 484.093750 1657730719.6996
MEM 484.093750 1657730719.8000
MEM 484.093750 1657730719.9003
MEM 484.351562 1657730720.0006
MEM 484.351562 1657730720.1010
MEM 484.351562 1657730720.2013
MEM 484.574219 1657730720.3017
MEM 484.574219 1657730720.4020
MEM 484.574219 1657730720.5025
MEM 484.691406 1657730720.6028
MEM 484.691406 1657730720.7032
MEM 484.691406 1657730720.8035
MEM 484.691406 1657730720.9039
MEM 484.691406 1657730721.0042
MEM 484.691406 1657730721.1045
MEM 484.949219 1657730721.2049
MEM 484.949219 1657730721.3053
MEM 484.949219 1657730721.4056
